Time (s),Main Avg Current (mA),Main Avg Voltage (V)
1.0420,0.01,2.9985
1.0440,0.012,2.9985
1.0460,0,2.9975
1.0480,0.008,2.9975
1.0500,0.008,2.9975
1.0520,0.01,2.9985
1.0540,0.016,2.9975
1.0560,0.004,2.9985
1.0580,0.016,2.9975
1.0600,0.002,2.9975
1.0620,0.016,2.9975
1.0640,0.012,2.997
1.0660,0.008,2.9985
1.0680,0.01,2.9975
1.0700,0.016,2.9985
1.0720,0.01,2.9985
1.0740,0.016,2.9975
1.0760,0.008,2.9975
1.0780,0.012,2.9975
1.0800,0.01,2.9975
1.0820,0.008,2.9975
1.0840,0.01,2.9975
1.0860,0.01,2.9975
1.0880,0.01,2.9985
1.0900,0.018,2.9975
1.0920,0.016,2.9985
1.0940,0.01,2.9985
1.0960,0.012,2.997
1.0980,0.008,2.9975
1.1000,0.004,2.9975
1.1020,0.012,2.9975
1.1040,0.204,2.9975
1.1060,0.016,2.9975
1.1080,0.008,2.9985
1.1100,0.008,2.9975
1.1120,0.01,2.997
1.1140,0.01,2.9975
1.1160,0.008,2.9975
1.1180,0.01,2.9975
1.1200,0.008,2.9975
1.1220,0.01,2.9975
1.1240,0.004,2.9985
1.1260,0.01,2.9975
1.1280,0.008,2.997
1.1300,0.008,2.9975
1.1320,0.012,2.9975
1.1340,0.012,2.9975
1.1360,0.012,2.9975
1.1380,0.01,2.9975
1.1400,0.01,2.9975
1.1420,0.008,2.9985
1.1440,0.008,2.9975
1.1460,0.01,2.9975
1.1480,0.01,2.9975
1.1500,0.016,2.9975
1.1520,0.004,2.9975
1.1540,0.004,2.9975
1.1560,0.008,2.9975
1.1580,0.004,2.9975
1.1600,0.018,2.9975
1.1620,0.01,2.9975
1.1640,0.004,2.997
1.1660,0.008,2.9975
1.1680,0.012,2.9985
1.1700,0.018,2.9975
1.1720,0.016,2.9975
1.1740,0.08,2.9985
1.1760,0.008,2.9985
1.1780,0.008,2.9975
1.1800,0.004,2.9975
1.1820,0.016,2.9975
1.1840,0.004,2.9975
1.1860,0.01,2.9975
1.1880,0.01,2.9975
1.1900,0.002,2.9985
1.1920,0.01,2.9975
1.1940,0.004,2.9975
1.1960,0.008,2.9985
1.1980,0.012,2.9975
1.2000,0.012,2.9975
1.2020,0.01,2.997
1.2040,0.004,2.9985
1.2060,0.008,2.9975
1.2080,0.012,2.9975
1.2100,0.012,2.997
1.2120,0.016,2.9975
1.2140,0.004,2.9985
1.2160,0.02,2.9975
1.2180,0.008,2.9985
1.2200,0.008,2.9975
1.2220,0.012,2.9975
1.2240,0.004,2.9975
1.2260,0.012,2.9985
1.2280,0.016,2.997
1.2300,0.008,2.9975
1.2320,0.01,2.997
1.2340,0.02,2.9975
1.2360,0.01,2.9975
1.2380,0.012,2.9975
1.2400,0.01,2.9975
1.2420,0.01,2.9975
1.2440,0.204,2.9975
1.2460,0.01,2.997
1.2480,0.012,2.9985
1.2500,0.01,2.9975
1.2520,0.018,2.9975
1.2540,0.01,2.997
1.2560,0.002,2.9975
1.2580,0.008,2.9975
1.2600,0.002,2.9975
1.2620,0.016,2.9975
1.2640,0.012,2.997
1.2660,0.004,2.9975
1.2680,0.008,2.9985
1.2700,0.01,2.9975
1.2720,0.018,2.9985
1.2740,0.012,2.9975
1.2760,0.012,2.9975
1.2780,0.002,2.9975
1.2800,0.01,2.9975
1.2820,0.012,2.9975
1.2840,0.004,2.9975
1.2860,0.004,2.9985
1.2880,0.018,2.9975
1.2900,0.01,2.9975
1.2920,0.012,2.9975
1.2940,0.01,2.9975
1.2960,0.004,2.9985
1.2980,0.01,2.9985
1.3000,0.008,2.9985
1.3020,0.01,2.9985
1.3040,0.01,2.9975
1.3060,0.018,2.9975
1.3080,0.01,2.9975
1.3100,0.012,2.9985
1.3120,0.004,2.9975
1.3140,0.212,2.9975
1.3160,0.01,2.9985
1.3180,0.004,2.9975
1.3200,0.008,2.9975
1.3220,0.016,2.9975
1.3240,0.02,2.9985
1.3260,0,2.997
1.3280,0.012,2.9975
1.3300,0.01,2.9975
1.3320,0.012,2.9975
